1,,Port-channel20,InternetPro-123.321.123,"{""name"": 20, ""description"": ""InternetPro-123.321.123"", ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 102, ""l2protocol"": {""peer"": {""protocol"": [""lacp""]}, ""tunnel"": {""protocol"": [""stp""]}}, ""bridge-domain"": {""bridge-id"": 102}, ""ethernet-evc-name"": ""CI_VLAN112233"", ""encapsulation"": {""untagged"": {}}, ""ethernet"": [null]}]}, ""storm-control"": {""broadcast"": {""level"": {""threshold"": {""rising-threshold"": 10}}}, ""unicast"": {""level"": {""threshold"": {""rising-threshold"": 10}}}}, ""mtu"": 9216, ""Cisco-IOS-XE-policy:service-policy"": {""input"": ""PM_UNI_ASSURED_200M_IN""}}",,,,9216
2,,Port-channel5,None,"{""name"": 5, ""Cisco-IOS-XE-ethernet:negotiation"": {""auto"": false}, ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 1, ""encapsulation"": {""dot1q"": {""id"": [6, 1405]}}, ""trunk"": [null], ""ethernet"": [null]}]}}",,,,
3,,TenGigabitEthernet0/0/5,member of Portchannel20,"{""name"": ""0/0/5"", ""description"": ""member of Portchannel20"", ""keepalive"": false, ""Cisco-IOS-XE-ethernet:channel-group"": {""number"": 20, ""mode"": ""active""}, ""mtu"": 9216}",,,1,9216
4,,TenGigabitEthernet0/0/2,InternetPro-111.333.999 Client name,"{""name"": ""0/0/2"", ""description"": ""InternetPro-111.333.999 Client name"", ""keepalive"": false, ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 103, ""l2protocol"": {""tunnel"": {""protocol"": [""stp""]}}, ""bridge-domain"": {""bridge-id"": 103, ""split-horizon"": {""group"": 3}}, ""ethernet-evc-name"": ""CI_VLAN113399"", ""encapsulation"": {""untagged"": {}}, ""ethernet"": [null]}]}, ""Cisco-IOS-XE-lldp:lldp"": {""receive"": false, ""transmit"": false}, ""Cisco-IOS-XE-policy:service-policy"": {""input"": ""PM_UNI_ASSURED_200Mb""}}",,,,
5,,TenGigabitEthernet0/0/3,Uplink to ED5 / 11,"{""name"": ""0/0/3"", ""description"": ""Uplink to ED5 / 11"", ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 4000, ""description"": ""For untagged packets (LLDP) test"", ""l2protocol"": {""peer"": {""protocol"": [""lldp""]}}, ""bridge-domain"": {""bridge-id"": 4000}, ""encapsulation"": {""untagged"": {}}, ""ethernet"": [null]}, {""id"": 1, ""bridge-domain"": {""from-encapsulation"": [null]}, ""encapsulation"": {""dot1q"": {""id"": [3131, 1176, 1199, 1102, 1405, 6, 2102]}}, ""trunk"": [null], ""ethernet"": [null], ""rewrite"": {""ingress"": {""tag"": {""pop"": {""way"": ""1"", ""mode"": ""symmetric""}}}}}]}, ""mtu"": 9216, ""Cisco-IOS-XE-policy:service-policy"": {""input"": ""PM-ASSURED-IN"", ""output"": ""PM-NNI-100M-OUT""}}",,,,9216
6,,TenGigabitEthernet0/0/4,member of Portchannel20,"{""name"": ""0/0/4"", ""description"": ""member of Portchannel20"", ""keepalive"": false, ""Cisco-IOS-XE-ethernet:channel-group"": {""number"": 20, ""mode"": ""active""}, ""mtu"": 9216}",,,1,9216
7,,GigabitEthernet0/0/1,InternetPro-123.456.789 - Client name,"{""name"": ""0/0/1"", ""description"": ""InternetPro-123.456.789 - Client name"", ""keepalive"": false, ""media-type"": ""rj45"", ""Cisco-IOS-XE-lldp:lldp"": {""receive"": false, ""transmit"": false}, ""Cisco-IOS-XE-policy:service-policy"": {""input"": ""PM_UNI_ASSURED_PIN_200Mb""}, ""Cisco-IOS-XE-ethernet:negotiation"": {""auto"": true}, ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 101, ""l2protocol"": {""tunnel"": {""protocol"": [""stp""]}}, ""bridge-domain"": {""bridge-id"": 101, ""split-horizon"": {""group"": 3}}, ""ethernet-evc-name"": ""CI_VLAN123456"", ""encapsulation"": {""untagged"": {}}, ""ethernet"": [null]}]}}",,,,
8,,GigabitEthernet0,None,"{""name"": ""0"", ""Cisco-IOS-XE-ethernet:negotiation"": {""auto"": true}, ""vrf"": {""forwarding"": ""Mgmt-intf""}, ""ip"": {""address"": {""primary"": {""address"": ""172.16.1.56"", ""mask"": ""255.255.254.0""}}}}",,,,
9,,GigabitEthernet0/0/0,VLAN372638 FRINX_LAB_IVP,"{""name"": ""0/0/0"", ""description"": ""VLAN372638 FRINX_LAB_IVP"", ""keepalive"": false, ""media-type"": ""rj45"", ""load-interval"": 30, ""Cisco-IOS-XE-ethernet:negotiation"": {""auto"": true}, ""Cisco-IOS-XE-ethernet:service"": {""instance"": [{""id"": 100, ""encapsulation"": {""untagged"": {}}, ""bridge-domain"": {""bridge-id"": 100}, ""ethernet"": [null]}]}, ""Cisco-IOS-XE-snmp:snmp"": {""trap"": {""link-status"": false}}}",,,,
